"","Score","ch1","ch2","ch3","ch4","ch5","ch6","ch7","ch8","ch9","ch10","ch11","ch12"
"1",3,26,23.9,23,33,35,28,27,33,29,34,35.5,27.5
"2",5,31,40,33,31,36,37,33.3,33.4,32,39,34,33
"3",5,33,35.6,35,32,36,40,32.5,34,33.8,36,39,36
"4",5,37.8,37,34,35,37,39,39.5,32,33.1,26,38.5,38
"5",4,24,24,30,30,30,28,29.4,29,33.1,31,33,27.5
"6",4,30.6,31,32,32,34.5,34,28,27,33.8,37.5,38,35
"7",5,38,40,36,32,35,39,36.7,34.6,33,39,39.5,36.5
"8",4,30,37,32,35,35,39,30,34.6,35,34,36,32.5
"9",5,33,35,37,31,38,39,30,30,30,39,37,33.5
"10",5,39.4,33,36,34,40,39,37,36.2,38,40,39,38.5
"11",5,31,31.7,34,30,36.5,34,30,27,36.9,35,34.5,32.5
"12",5,36,39,39,36,39.5,39,36.7,40,35,36,38,34
"13",4,36,38,37,31,40,39,32.8,35.4,30.5,32,33,28.5
"14",3,33,38,36,33.3,32,39,28,33,33,39,38,30.8
"15",5,33,35.6,38,33,37,40,33,36.2,37,40,40,36.5
"16",5,32,34,32,37.5,33,39,30.6,33.1,28,37,33,31.5
"17",5,33.3,37,35,31,38.5,39,36,32.3,35,39,38,35
"18",4,34,32,37,33,33,38,31.7,30,28.5,37,31,27.5
"19",3,31,35,29,29,36,31,25.6,30,27,30,29,20.8
"20",4,30,40,32,30,33.5,39,29.5,36,35,39.5,38,37.5
"21",4,31,34,30.6,31,34,39,31,24.5,27.7,35.5,36,33
"22",5,32,33,39,35.5,31,39,33.3,34.6,32,35.5,38,36.5
"23",2,22.2,15,26,22.5,23.5,22.5,16,20,20.8,20.5,31,21
"24",4,34,31,38,30.6,35,38,31,33,34,35.5,33.1,32
"25",4,35,34.5,39,34.5,39.5,39,36.5,37,35,39.5,37.5,35.4
"26",5,30,36,29,31.5,30,31,30.5,25,33.1,29.5,31,27
"27",5,34,37,37,34.4,34,38,38.5,33,31,35.5,38.5,33.8
"28",5,34,37,34,35.6,38.5,38,36,34,37,35.5,36.2,34
"29",2,23,20.5,19,25,27.5,25,26.1,26.2,21,29.5,29.5,20
"30",4,35,35,37,31,38,39,32.2,33,30,30.8,38,35
"31",3,34,32,34,32,31,39,27.8,27,24.6,35.5,35,30.5
"32",4,32,39,34,33.3,35,36,32,30,29.5,39,32.3,32
"33",4,32,35,34,28.9,36.5,39,33.5,30.8,35,36.5,37,35
"34",1,24,30,22.2,25,36,31,22,26.5,25.5,29.5,23,20.8
"35",1,26,15,30,26,24,24,22.2,30,27,30,31.5,28
"36",4,20,31,32,23,35,36,25,23.5,22.3,30.5,28,21.5
"37",5,32.2,38,34,30,39,39,33,31,27.5,33.1,31.5,29.5
"38",5,37.8,35,39,32,33.5,35,35,34.6,34,35.5,40,36.5
"39",5,35,38,37,36,39,35.5,36.7,36.9,33,36.5,40,37
"40",5,39,40,35.3333333333333,34,40,40,39.5,37.8,36,31,39.2,35.2
"41",5,34,37,37.3333333333333,38,39.5,37,38,36.4,38.4,40,40,39.2
